#Virtual Template Bank
#Produced in January 2023 by Florian Aubin, using the Hybrid Code and the L1 expected O4 PSD
#Sorted by HF, and then LF, durations and formatted by Florian Aubin
#BNS (Mtot < 4) minimal match: 0.98, BBH seed (Q < 3) minimal match: 0.98, Full bank minimal match: 0.965
#Here are all the VTs that must be run on 1 band. The selection criteria are: peak frequency of the VT OR the RT LF < 80 Hz, OR RT HF duration < 20 ms. It is advised to run these VTs with a larger autochi2 window (~300 ms)
!id m1 m2 spin1z spin2z duration fpeak fRD
244 35.528164 1.044643 -0.910378 0.0 18.7418056823 197.662478608 271.096886117
245 35.749584 1.035862 -0.914844 0.0 18.7383715124 196.22893201 269.163378897
246 38.406443 1.004814 -0.732425 0.0 18.736631385 190.836157408 260.0290412
247 38.230193 1.012902 -0.723685 0.0 18.7361596623 192.126529469 261.732162861
248 35.962119 1.027136 -0.920114 0.0 18.7356545176 194.824487185 267.27865169
249 36.169179 1.018441 -0.925913 0.0 18.7333564955 193.442047804 265.43004075
250 36.375109 1.009705 -0.931991 0.0 18.7314961804 192.06906714 263.597369625
251 36.581474 1.000904 -0.938257 0.0 18.7302695582 190.701241585 261.773526964
252 39.014559 1.006851 -0.66926 0.0 18.7191784504 190.82125046 259.506979592
253 36.276188 1.032794 -0.872247 0.0 18.7013243662 195.336543366 267.504904817
254 36.071336 1.041771 -0.865532 0.0 18.7013106797 196.761262847 269.404499568
255 35.952421 1.009511 -0.987968 0.0 18.6896221668 191.80096697 263.82073506
256 36.165759 1.000503 -0.993613 0.0 18.6879252555 190.414549363 261.96568603
257 39.59337 1.003582 -0.632188 0.0 18.6773205036 189.789639456 257.81851337
258 39.436438 1.011554 -0.621779 0.0 18.6741563695 191.042234055 259.465623218
259 39.284523 1.019501 -0.611013 0.0 18.6710610871 192.299920863 261.118567416
260 35.811599 1.038699 -0.912317 0.0 18.6637186813 196.005984627 268.832946371
261 38.497585 1.007179 -0.72893 0.0 18.6620259021 190.547800398 259.608107901
262 36.025149 1.029961 -0.917524 0.0 18.6605288438 194.602491905 266.948647802
263 36.232839 1.02126 -0.923282 0.0 18.6578032379 193.222019217 265.102138966
264 36.439189 1.012519 -0.929331 0.0 18.6555919334 191.851552625 263.272543823
265 36.645824 1.003715 -0.935577 0.0 18.6540573161 190.486602608 261.452402561
266 39.277126 1.001242 -0.675209 0.0 18.6452712628 189.267283045 257.421492231
267 39.117337 1.009038 -0.665439 0.0 18.6447212348 190.50138838 259.043568585
268 36.136119 1.044565 -0.862969 0.0 18.6268770295 196.528385427 269.061886765
269 36.01079 1.012445 -0.985508 0.0 18.6134244732 191.600218233 263.519120938
270 36.223618 1.003444 -0.991181 0.0 18.6114277199 190.218492913 261.670679646
271 39.698866 1.005744 -0.628405 0.0 18.6032131525 189.465827827 257.352203657
272 39.541736 1.013709 -0.618028 0.0 18.6003457293 190.714120745 258.994189553
273 39.388916 1.021658 -0.607327 0.0 18.5975794098 191.969378536 260.644820822
274 39.231828 1.029578 -0.597018 0.0 18.5958271645 193.23861792 262.318618052
275 35.874208 1.041553 -0.909767 0.0 18.5889820175 195.781741929 268.500669651
276 38.761025 1.001475 -0.734563 0.0 18.5877811255 188.992468008 257.519581837
277 38.590048 1.009549 -0.725388 0.0 18.587321059 190.256764578 259.183353673
278 36.088746 1.032804 -0.914913 0.0 18.5853246968 194.379299285 266.616964054
279 36.297066 1.024096 -0.920631 0.0 18.5822008807 193.000778354 264.772513543
280 36.503848 1.015351 -0.92665 0.0 18.5796348456 191.63283267 262.94595783
281 36.710799 1.006544 -0.932875 0.0 18.5777856413 190.270584813 261.129280789
282 39.381275 1.003445 -0.671329 0.0 18.570496022 188.949346405 256.960112972
283 39.221189 1.011236 -0.66159 0.0 18.5702367246 190.179676204 258.57768723
284 36.070153 1.01539 -0.983001 0.0 18.5371804043 191.397032458 263.213771708
285 36.282584 1.006395 -0.988695 0.0 18.5348894241 190.019740709 261.371524416
286 39.966482 1.000044 -0.634539 0.0 18.5306868859 187.909744136 255.263705594
287 39.805162 1.007919 -0.62461 0.0 18.5291884455 189.140857857 256.884510959
288 39.64786 1.015878 -0.614262 0.0 18.5266007631 190.384860202 258.521368631
